,Aare-4-000003,Aha-4-000001,Alsp-4-000002,Aru-a04-002343,,Asu-2-001210,Asu-9-000006,Ath-2-001391,,,Cen-7-002886,Cen-10-002845,Cfle-4-002886,Chivh-2-004894,Cla-7-02636,Cne-2-003890,Cpl-320-000004,Crub-4-000001,Csa-9-003557,Csa-7-002974,Csa-16-002824,Eche-7-002234,Esal-3-000009,Iind-5-003179,Mpe-12-000003,Mpyg-2-000094,Spar-4-000006,Tar-4-002763,,,
Aara-1-002485,.,.,Alsp-4-002939,Aru-a04-000272,Aru-b04-000253,Asu-2-003718,Asu-9-003018,Ath-2-003965,.,.,Cen-3-002539,Cen-10-000278,.,Chivh-4-000347,Cla-7-00259,.,.,Crub-4-002715,Csa-5-000310,Csa-4-003638,Csa-6-003535,Eche-7-000253,Esal-3-002731,Iind-5-000233,Mpe-17-000390,Mpyg-2-000356,.,Tar-4-000247,Tca-1-003301,,.
Aara-1-002486,Aare-4-002764,Aha-4-002736,Alsp-4-002940,Aru-a04-000271,Aru-b04-000252,Asu-2-003719,Asu-9-003019,Ath-2-003966,Bdiv-4-000299,Bst-4-002620,Cen-3-002540,Cen-10-000277,Cfle-4-000285,.,Cla-7-00258,Cne-4-004463,.,Crub-4-002716,Csa-5-000309,Csa-4-003639,Csa-6-003536,.,Esal-3-002732,.,Mpe-17-000391,Mpyg-2-000357,.,Tar-4-000245,Tca-1-003300,,.
.,.,.,Alsp-4-002941,.,.,.,Asu-9-003020,.,.,.,.,.,.,.,.,.,.,Crub-4-002717,.,.,.,.,.,.,.,.,.,.,.,,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Cne-4-004464,.,Crub-4-002718,.,Csa-4-003640,.,.,.,.,.,.,.,.,.,,.
Aara-1-002487,.,.,.,.,.,Asu-2-003720,.,Ath-2-003967,.,Bst-4-002621,Cen-3-002541,.,.,.,Cla-7-00257,Cne-4-004466,.,Crub-4-002719,.,Csa-4-003642,.,.,Esal-3-002733,Iind-5-000232,Mpe-17-000392,.,.,.,Tca-1-003299,,.
.,Aare-4-002766,Aha-4-002737,Alsp-4-002942,Aru-a04-000270,Aru-b04-000251,Asu-2-003721,Asu-9-003021,Ath-2-003968,.,Bst-4-002622,Cen-3-002542,Cen-10-000276,.,Chivh-4-000342,Cla-7-00256,.,Cpl-393-000247,Crub-4-002720,Csa-5-000306,Csa-4-003643,Csa-6-003537,Eche-7-000251,Esal-3-002734,Iind-5-000231,Mpe-17-000393,Mpyg-2-000358,Spar-4-000675,.,Tca-1-003297,,.
.,Aare-4-002767,Aha-4-002738,Alsp-4-002943,Aru-a04-000269,Aru-b04-000249,Asu-2-003722,Asu-9-003022,Ath-2-003969,Bdiv-4-000296,Bst-4-002623,Cen-3-002543,Cen-10-000275,Cfle-4-000283,Chivh-4-000341,.,Cne-4-004468,.,Crub-4-002721,Csa-5-000305,Csa-4-003647,Csa-6-003538,Eche-7-000250,.,Iind-5-000230,Mpe-17-000394,Mpyg-2-000359,.,.,Tca-1-003296,,.
Aara-1-002488,.,Aha-4-002739,Alsp-4-002944,Aru-a04-000268,Aru-b04-000248,Asu-2-003723,Asu-9-003023,Ath-2-003970,Bdiv-4-000295,Bst-4-002624,Cen-3-002544,Cen-10-000274,Cfle-4-000282,Chivh-4-000340,Cla-7-00255,Cne-4-004469,Cpl-393-000245,Crub-4-002722,Csa-5-000304,Csa-4-003648,Csa-6-003539,Eche-7-000249,Esal-3-002735,Iind-5-000229,Mpe-17-000395,Mpyg-2-000360,Spar-4-000672,Tar-4-000244,.,,.
Aara-1-002489,.,Aha-4-002740,Alsp-4-002945,Aru-a04-000267,Aru-b04-000247,Asu-2-003724,Asu-9-003024,Ath-2-003971,Bdiv-4-000294,Bst-4-002625,Cen-3-002545,Cen-10-000273,Cfle-4-000281,Chivh-4-000339,Cla-7-00254,Cne-4-004470,.,Crub-4-002723,Csa-5-000303,Csa-4-003649,Csa-6-003540,.,Esal-3-002737,Iind-5-000228,Mpe-17-000397,Mpyg-2-000355,.,Tar-4-000243,Tca-1-003295,,.
Aara-1-002490,Aare-4-002770,Aha-4-002741,Alsp-4-002946,.,.,Asu-2-003727,Asu-9-003025,Ath-2-003972,Bdiv-4-000293,Bst-4-002626,Cen-3-002546,Cen-10-000272,Cfle-4-000280,Chivh-4-000338,Cla-7-00253,Cne-4-004471,Cpl-393-000242,Crub-4-002724,Csa-5-000302,Csa-4-003650,Csa-6-003541,Eche-7-000247,Esal-3-002739,Iind-5-000220,Mpe-17-000399,Mpyg-2-000354,Spar-4-000668,Tar-4-000241,Tca-1-003293,,Ggyn-17-000144
Aara-1-002491,Aare-4-002771,Aha-4-002742,Alsp-4-002947,Aru-a04-000266,Aru-b04-000246,Asu-2-003728,Asu-9-003026,Ath-2-003973,.,.,.,.,.,.,.,Cne-4-004472,Cpl-393-000240,Crub-4-002725,Csa-5-000301,.,Csa-6-003542,.,.,.,Mpe-17-000400,Mpyg-2-000353,Spar-4-000666,.,Tca-1-003292,,.
.,Aare-4-002772,Aha-4-002743,Alsp-4-002950,.,.,Asu-2-003729,Asu-9-003027,Ath-2-003974,.,Bst-4-002628,Cen-3-002547,Cen-10-000271,Cfle-4-000278,.,Cla-7-00252,Cne-4-004473,Cpl-393-000239,Crub-4-002726,Csa-5-000300,Csa-4-003651,Csa-6-003543,Eche-7-000245,Esal-3-002740,Iind-5-000219,Mpe-17-000401,Mpyg-2-000351,Spar-4-000665,Tar-4-000240,Tca-1-003291,,.
Aara-1-002492,Aare-4-002773,Aha-4-002744,Alsp-4-002951,Aru-a04-000264,Aru-b04-000245,Asu-2-003730,Asu-9-003028,Ath-2-003975,.,.,.,Cen-10-000270,.,.,Cla-7-00251,.,Cpl-393-000238,Crub-4-002727,Csa-5-000299,Csa-4-003652,Csa-6-003544,Eche-7-000244,Esal-3-002741,Iind-5-000218,Mpe-17-000402,Mpyg-2-000350,Spar-4-000664,Tar-4-000239,Tca-1-003289,,Ggyn-17-000143
Aara-1-002494,.,Aha-4-002745,Alsp-4-002955,Aru-a04-000262,Aru-b04-000243,Asu-2-003731,Asu-9-003033,Ath-2-003976,Bdiv-4-000289,.,Cen-3-002549,Cen-10-000268,Cfle-4-000276,Chivh-4-000335,Cla-7-00249,Cne-4-004474,Cpl-393-000236,Crub-4-002728,Csa-5-000297,Csa-4-003654,Csa-6-003546,Eche-7-000243,Esal-3-002745,Iind-5-000215,Mpe-17-000404,Mpyg-2-000345,Spar-4-000662,Tar-4-000238,Tca-1-003287,,Ggyn-17-000141
Aara-1-002495,Aare-4-002775,Aha-4-002746,Alsp-4-002956,Aru-a04-000261,Aru-b04-000242,Asu-2-003733,Asu-9-003034,Ath-2-003980,.,Bst-4-002632,Cen-3-002550,Cen-10-000267,Cfle-4-000275,Chivh-4-000334,Cla-7-00248,Cne-4-004476,.,Crub-4-002729,Csa-5-000296,Csa-4-003655,Csa-6-003547,Eche-7-000242,Esal-3-002746,Iind-5-000214,Mpe-17-000405,.,.,.,Tca-1-003268,,.
Aara-1-002496,Aare-4-002776,Aha-4-002747,Alsp-4-002957,Aru-a04-000260,Aru-b04-000241,Asu-2-003735,Asu-9-003035,Ath-2-003981,.,Bst-4-002633,Cen-3-002551,Cen-10-000266,Cfle-4-000274,Chivh-4-000333,Cla-7-00247,Cne-4-004477,Cpl-393-000235,Crub-4-002730,Csa-5-000295,Csa-4-003656,Csa-6-003548,Eche-7-000241,Esal-3-002747,Iind-5-000213,Mpe-17-000406,Mpyg-2-000344,.,Tar-4-000237,Tca-1-003267,,.
Aara-1-002497,Aare-4-002777,Aha-4-002750,Alsp-4-002958,Aru-a04-000259,Aru-b04-000240,Asu-2-003736,Asu-9-003036,Ath-2-003982,.,Bst-4-002634,Cen-3-002552,Cen-10-000265,.,Chivh-4-000332,Cla-7-00246,Cne-4-004478,Cpl-393-000234,Crub-4-002731,Csa-5-000294,Csa-4-003657,Csa-6-003549,Eche-7-000240,Esal-3-002748,Iind-5-000212,Mpe-17-000407,Mpyg-2-000343,.,.,Tca-1-003263,,.
.,Aare-4-002778,Aha-4-002751,Alsp-4-002959,Aru-a04-000258,Aru-b04-000239,Asu-2-003738,Asu-9-003037,Ath-2-003983,Bdiv-4-000284,Bst-4-002635,Cen-3-002553,Cen-10-000264,Cfle-4-000271,Chivh-4-000331,Cla-7-00245,Cne-4-004479,Cpl-393-000233,Crub-4-002732,Csa-5-000293,Csa-4-003658,Csa-6-003550,Eche-7-000239,Esal-3-002750,Iind-5-000211,Mpe-17-000408,Mpyg-2-000342,.,Tar-4-000236,Tca-1-003261,,Ggyn-17-000138
Aara-1-002498,.,Aha-4-002752,Alsp-4-002960,Aru-a04-000257,Aru-b04-000238,Asu-2-003739,Asu-9-003038,Ath-2-003984,.,.,Cen-3-002554,Cen-10-000263,.,.,.,.,.,Crub-4-002733,Csa-5-000292,.,.,Eche-7-000238,.,Iind-5-000210,Mpe-17-000409,.,.,Tar-4-000235,.,,.
Aara-1-002499,Aare-4-002781,Aha-4-002753,Alsp-4-002961,Aru-a04-000256,Aru-b04-000237,Asu-2-003740,Asu-9-003039,Ath-2-003985,Bdiv-4-000282,Bst-4-002638,Cen-3-002555,Cen-10-000262,Cfle-4-000269,Chivh-4-000328,Cla-7-00243,Cne-4-004480,Cpl-393-000232,Crub-4-002734,Csa-5-000291,Csa-4-003659,Csa-6-003552,Eche-7-000237,Esal-3-002752,Iind-5-000209,Mpe-17-000410,Mpyg-2-000341,.,Tar-4-000234,Tca-1-003259,,Ggyn-17-000136
Aara-1-002500,Aare-4-002782,Aha-4-002754,Alsp-4-002962,Aru-a04-000255,Aru-b04-000236,Asu-2-003741,Asu-9-003040,Ath-2-003986,Bdiv-4-000281,Bst-4-002639,Cen-3-002556,Cen-10-000261,Cfle-4-000268,Chivh-4-000327,Cla-7-00242,Cne-4-004481,Cpl-393-000231,Crub-4-002735,Csa-5-000290,Csa-4-003660,Csa-6-003554,Eche-7-000236,Esal-3-002753,Iind-5-000208,Mpe-17-000411,Mpyg-2-000340,.,.,Tca-1-003256,,.
Aara-1-002501,Aare-4-002783,Aha-4-002755,Alsp-4-002963,.,.,Asu-2-003742,Asu-9-003041,Ath-2-003987,.,Bst-4-002640,Cen-3-002557,Cen-10-000260,Cfle-4-000267,Chivh-4-000326,Cla-7-00241,Cne-4-004482,Cpl-393-000230,Crub-4-002736,Csa-5-000289,.,Csa-6-003555,Eche-7-000235,Esal-3-002754,Iind-5-000207,Mpe-17-000412,Mpyg-2-000339,.,Tar-4-000233,Tca-1-003255,,.
Aara-1-002502,Aare-4-002784,Aha-4-002757,Alsp-4-002965,Aru-a04-000253,Aru-b04-000234,Asu-2-003744,Asu-9-003043,Ath-2-003989,Bdiv-4-000279,Bst-4-002643,Cen-3-002559,Cen-10-000258,Cfle-4-000265,Chivh-4-000323,Cla-7-00240,Cne-4-004483,Cpl-393-000228,Crub-4-002737,Csa-5-000286,Csa-4-003662,Csa-6-003557,Eche-7-000233,Esal-3-002755,Iind-5-000205,Mpe-17-000413,Mpyg-2-000337,.,Tar-4-000232,.,,Ggyn-17-000134
Aara-1-002503,Aare-4-002785,Aha-4-002758,Alsp-4-002966,Aru-a04-000251,.,Asu-2-003745,Asu-9-003044,Ath-2-003990,.,Bst-4-002644,Cen-3-002560,Cen-10-000257,.,Chivh-4-000322,Cla-7-00239,Cne-4-004484,Cpl-393-000227,Crub-4-002738,Csa-5-000285,Csa-4-003663,Csa-6-003558,Eche-7-000232,Esal-3-002756,.,Mpe-17-000414,Mpyg-2-000336,Spar-4-000661,Tar-4-000231,Tca-1-003252,,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Cne-4-004485,.,Crub-4-002739,.,Csa-4-003664,.,.,.,.,.,.,.,.,.,,.
.,Aare-4-002787,Aha-4-002760,Alsp-4-002967,.,Aru-b04-000233,Asu-2-003746,Asu-9-003045,Ath-2-003991,.,.,Cen-3-002561,Cen-10-000256,Cfle-4-000263,Chivh-4-000320,Cla-7-00238,Cne-4-004486,Cpl-393-000226,Crub-4-002740,Csa-5-000284,Csa-4-003666,Csa-6-003560,.,Esal-3-002757,Iind-5-000204,Mpe-17-000415,Mpyg-2-000335,.,Tar-4-000230,Tca-1-003247,,.
.,Aare-4-002788,Aha-4-002761,Alsp-4-002968,.,.,Asu-2-003747,Asu-9-003046,Ath-2-003992,Bdiv-4-000276,Bst-4-002646,.,.,.,Chivh-4-000319,Cla-7-00237,Cne-4-004487,.,Crub-4-002741,Csa-5-000283,Csa-4-003667,Csa-6-003561,.,.,.,.,.,.,.,.,,.
Aara-1-002504,Aare-4-002789,Aha-4-002762,Alsp-4-002969,Aru-a04-000249,Aru-b04-000232,Asu-2-003748,Asu-9-003047,Ath-2-003993,Bdiv-4-000275,Bst-4-002647,Cen-3-002562,Cen-10-000255,Cfle-4-000262,Chivh-4-000318,Cla-7-00236,Cne-4-004488,Cpl-393-000225,Crub-4-002742,Csa-5-000282,Csa-4-003668,Csa-6-003562,Eche-7-000229,Esal-3-002758,Iind-5-000203,Mpe-17-000416,Mpyg-2-000334,Spar-4-000660,Tar-4-000229,Tca-1-003246,,.
.,.,.,.,.,Aru-b04-000230,Asu-2-003749,.,Ath-2-003994,.,Bst-4-002651,Cen-3-002564,Cen-10-000254,Cfle-4-000258,Chivh-4-000314,Cla-7-00235,Cne-4-004492,.,Crub-4-002743,Csa-5-000281,Csa-4-003669,Csa-6-003564,.,Esal-3-002759,Iind-5-000201,Mpe-17-000417,.,Spar-4-000659,Tar-4-000228,.,,.
.,.,.,.,.,.,.,.,.,.,Bst-4-002653,.,.,.,Chivh-4-000312,.,.,.,Crub-4-002744,Csa-5-000280,Csa-4-003670,Csa-6-003565,.,.,Iind-5-000200,.,Mpyg-2-000332,.,.,.,,.
Aara-1-002505,.,Aha-4-002763,Alsp-4-002970,.,.,Asu-2-003750,Asu-9-003048,Ath-2-003995,Bdiv-4-000269,Bst-4-002655,Cen-3-002566,.,Cfle-4-000257,Chivh-4-000311,.,Cne-4-004494,.,Crub-4-002745,Csa-5-000277,Csa-4-003671,Csa-6-003568,.,Esal-3-002760,Iind-5-000199,Mpe-17-000418,.,.,.,.,,.
.,.,.,.,.,Aru-b04-000229,.,.,.,Bdiv-4-000268,Bst-4-002656,Cen-3-002567,.,Cfle-4-000255,.,Cla-7-00234,.,.,Crub-4-002746,Csa-5-000276,Csa-4-003672,Csa-6-003569,.,Esal-3-002761,Iind-5-000198,Mpe-17-000419,.,.,Tar-4-000227,.,,.
.,.,.,Alsp-4-002971,.,Aru-b04-000228,Asu-2-003751,Asu-9-003049,Ath-2-003996,.,.,Cen-3-002568,.,Cfle-4-000254,Chivh-4-000307,Cla-7-00233,.,Cpl-393-000221,Crub-4-002747,Csa-5-000275,Csa-4-003673,Csa-6-003570,.,Esal-3-002762,Iind-5-000197,Mpe-17-000420,Mpyg-2-000331,Spar-4-000658,Tar-4-000226,.,,.
Aara-1-002506,Aare-4-002795,Aha-4-002764,Alsp-4-002972,Aru-a04-000248,Aru-b04-000227,Asu-2-003752,Asu-9-003050,Ath-2-003997,Bdiv-4-000266,Bst-4-002658,Cen-3-002569,Cen-10-000253,Cfle-4-000253,Chivh-4-000306,Cla-7-00232,.,Cpl-393-000220,Crub-4-002748,Csa-5-000274,.,Csa-6-003571,Eche-7-000228,Esal-3-002763,Iind-5-000196,Mpe-17-000422,Mpyg-2-000330,Spar-4-000657,Tar-4-000224,.,,.
Aara-1-002508,Aare-4-002796,Aha-4-002765,Alsp-4-002973,Aru-a04-000247,Aru-b04-000226,Asu-2-003753,Asu-9-003051,Ath-2-003998,.,Bst-4-002659,Cen-3-002570,.,Cfle-4-000251,.,Cla-7-00231,Cne-4-004498,Cpl-393-000219,Crub-4-002749,Csa-5-000272,Csa-4-003674,Csa-6-003573,Eche-7-000227,Esal-3-002764,Iind-5-000195,Mpe-17-000424,Mpyg-2-000329,.,.,Tca-1-003243,,.
.,Aare-4-002797,.,Alsp-4-002974,Aru-a04-000246,Aru-b04-000225,Asu-2-003754,Asu-9-003052,Ath-2-003999,Bdiv-4-000264,Bst-4-002660,Cen-3-002571,Cen-10-000250,Cfle-4-000250,Chivh-4-000304,Cla-7-00230,Cne-4-004499,Cpl-393-000218,Crub-4-002750,Csa-5-000271,Csa-4-003694,Csa-6-003574,.,Esal-3-002765,.,Mpe-17-000425,Mpyg-2-000328,Spar-4-000655,Tar-4-000222,Tca-1-003242,,.
Aara-1-002509,Aare-4-002798,Aha-4-002766,Alsp-4-002975,Aru-a04-000245,Aru-b04-000223,Asu-2-003755,Asu-9-003053,Ath-2-004000,Bdiv-4-000263,.,.,Cen-10-000249,Cfle-4-000249,Chivh-4-000303,Cla-7-00229,Cne-4-004500,Cpl-393-000217,Crub-4-002751,Csa-5-000270,Csa-4-003693,Csa-6-003575,Eche-7-000226,Esal-3-002767,Iind-5-000194,Mpe-17-000426,Mpyg-2-000327,Spar-4-000654,Tar-4-000221,Tca-1-003241,,.
Aara-1-002510,Aare-4-002799,Aha-4-002767,Alsp-4-002976,Aru-a04-000244,Aru-b04-000222,Asu-2-003756,Asu-9-003054,Ath-2-004001,Bdiv-4-000262,Bst-4-002662,Cen-3-002572,Cen-10-000248,Cfle-4-000248,Chivh-4-000302,Cla-7-00228,Cne-4-004501,Cpl-393-000216,Crub-4-002752,Csa-5-000269,Csa-4-003692,Csa-6-003576,Eche-7-000225,Esal-3-002768,Iind-5-000193,Mpe-17-000427,Mpyg-2-000326,Spar-4-000653,Tar-4-000220,Tca-1-003240,,Ggyn-17-000132
.,Aare-4-002800,Aha-4-002768,Alsp-4-002977,Aru-a04-000243,.,.,Asu-9-003055,Ath-2-004002,.,.,Cen-3-002573,Cen-10-000247,Cfle-4-000247,Chivh-4-000301,Cla-7-00227,.,.,Crub-4-002753,Csa-5-000268,Csa-4-003691,Csa-6-003577,.,.,.,.,Mpyg-2-000325,.,.,Tca-1-003239,,Ggyn-17-000131
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-002754,.,.,.,.,.,.,.,.,.,.,.,,.
Aara-1-002511,Aare-4-002801,Aha-4-002769,Alsp-4-002978,Aru-a04-000242,Aru-b04-000221,Asu-2-003757,Asu-9-003056,Ath-2-004003,Bdiv-4-000260,Bst-4-002664,Cen-3-002575,Cen-10-000246,Cfle-4-000246,Chivh-4-000300,Cla-7-00226,Cne-4-004503,Cpl-393-000215,Crub-4-002755,Csa-5-000267,Csa-4-003690,Csa-6-003578,Eche-7-000223,Esal-3-002769,Iind-5-000192,Mpe-17-000428,Mpyg-2-000324,Spar-4-000652,Tar-4-000219,Tca-1-003233,,Ggyn-17-000129
Aara-1-002512,Aare-4-002802,Aha-4-002770,Alsp-4-002979,Aru-a04-000241,Aru-b04-000220,Asu-2-003758,Asu-9-003057,Ath-2-004004,Bdiv-4-000259,Bst-4-002665,Cen-3-002576,Cen-10-000245,Cfle-4-000245,Chivh-4-000299,Cla-7-00225,Cne-4-004504,Cpl-393-000214,Crub-4-002756,Csa-5-000266,Csa-4-003689,Csa-6-003579,Eche-7-000222,.,Iind-5-000191,Mpe-17-000429,Mpyg-2-000323,.,Tar-4-000218,Tca-1-003232,,Ggyn-17-000128
Aara-1-002513,Aare-4-002803,Aha-4-002771,Alsp-4-002980,Aru-a04-000240,Aru-b04-000219,Asu-2-003759,Asu-9-003058,Ath-2-004005,Bdiv-4-000258,Bst-4-002666,Cen-3-002577,Cen-10-000244,Cfle-4-000244,Chivh-4-000298,Cla-7-00224,Cne-4-004505,Cpl-393-000213,Crub-4-002757,Csa-5-000265,Csa-4-003688,Csa-6-003580,Eche-7-000221,Esal-3-002770,Iind-5-000190,Mpe-17-000430,Mpyg-2-000322,Spar-4-000650,Tar-4-000217,Tca-1-003231,,Ggyn-17-000126
Aara-1-002514,Aare-4-002804,Aha-4-002772,Alsp-4-002981,Aru-a04-000239,Aru-b04-000218,Asu-2-003760,Asu-9-003059,Ath-2-004006,Bdiv-4-000257,Bst-4-002667,Cen-3-002578,Cen-10-000243,Cfle-4-000243,Chivh-4-000297,Cla-7-00223,Cne-4-004506,Cpl-393-000212,Crub-4-002758,Csa-5-000264,Csa-4-003687,Csa-6-003581,Eche-7-000220,Esal-3-002771,Iind-5-000189,Mpe-17-000431,Mpyg-2-000321,.,Tar-4-000216,Tca-1-003230,,Ggyn-17-000125
Aara-1-002515,Aare-4-002805,Aha-4-002773,Alsp-4-002982,Aru-a04-000238,Aru-b04-000217,Asu-2-003761,Asu-9-003060,Ath-2-004007,Bdiv-4-000256,Bst-4-002668,Cen-3-002579,Cen-10-000242,Cfle-4-000242,Chivh-4-000296,Cla-7-00222,Cne-4-004507,Cpl-393-000211,Crub-4-002759,Csa-5-000263,Csa-4-003686,Csa-6-003595,Eche-7-000219,Esal-3-002772,Iind-5-000188,Mpe-17-000432,Mpyg-2-000320,Spar-4-000648,Tar-4-000215,Tca-1-003223,,.
Aara-1-002516,Aare-4-002806,.,Alsp-4-002983,Aru-a04-000237,Aru-b04-000216,Asu-2-003762,Asu-9-003061,Ath-2-004008,Bdiv-4-000255,Bst-4-002669,Cen-3-002580,Cen-10-000241,Cfle-4-000241,Chivh-4-000295,Cla-7-00221,Cne-4-004508,.,Crub-4-002760,Csa-5-000261,Csa-4-003685,Csa-6-003594,.,Esal-3-002773,Iind-5-000187,Mpe-17-000433,Mpyg-2-000319,.,Tar-4-000214,Tca-1-003222,,Ggyn-17-000124
Aara-1-002517,Aare-4-002807,Aha-4-002774,Alsp-4-002984,Aru-a04-000236,.,Asu-2-003763,Asu-9-003062,Ath-2-004009,Bdiv-4-000254,Bst-4-002670,Cen-3-002581,Cen-10-000240,.,Chivh-4-000294,Cla-7-00220,Cne-4-004510,.,Crub-4-002761,Csa-5-000260,Csa-4-003684,Csa-6-003592,Eche-7-000218,Esal-3-002774,Iind-5-000186,Mpe-17-000434,Mpyg-2-000318,Spar-4-000646,Tar-4-000213,Tca-1-003221,,Ggyn-17-000123
.,.,Aha-4-002775,Alsp-4-002985,Aru-a04-000235,Aru-b04-000215,Asu-2-003764,Asu-9-003063,Ath-2-004010,.,Bst-4-002671,Cen-3-002582,Cen-10-000239,.,Chivh-4-000293,Cla-7-00218,Cne-4-004511,.,Crub-4-002762,Csa-5-000259,Csa-4-003683,Csa-6-003591,Eche-7-000217,Esal-3-002775,Iind-5-000185,Mpe-17-000435,Mpyg-2-000317,Spar-4-000645,Tar-4-000212,.,,.
.,Aare-4-002809,Aha-4-002776,Alsp-4-002986,.,.,Asu-2-003765,.,Ath-2-004011,.,.,Cen-3-002583,.,Cfle-4-000238,.,.,Cne-4-004512,Cpl-393-000207,Crub-4-002763,Csa-5-000258,Csa-4-003682,.,.,Esal-3-002776,Iind-5-000184,Mpe-17-000436,Mpyg-2-000316,Spar-4-000644,Tar-4-000211,.,,Ggyn-17-000122
.,Aare-4-002810,Aha-4-002777,Alsp-4-002988,.,.,Asu-2-003766,Asu-9-003066,Ath-2-004012,Bdiv-4-000251,Bst-4-002673,Cen-3-002585,Cen-10-000236,Cfle-4-000236,Chivh-4-000290,.,Cne-4-004513,Cpl-393-000206,Crub-4-002764,Csa-5-000257,Csa-4-003680,.,.,Esal-3-002777,Iind-5-000181,Mpe-17-000437,.,Spar-4-000643,Tar-4-000210,Tca-1-003203,,.
.,Aare-4-002812,.,Alsp-4-002989,Aru-a04-000232,Aru-b04-000213,Asu-2-003767,Asu-9-003067,Ath-2-004013,Bdiv-4-000250,Bst-4-002674,Cen-3-002586,Cen-10-000235,.,Chivh-4-000289,Cla-7-00217,Cne-4-004514,.,Crub-4-002765,Csa-5-000256,Csa-4-003679,Csa-6-003589,Eche-7-000215,Esal-3-002778,Iind-5-000180,Mpe-17-000438,Mpyg-2-000314,.,Tar-4-000209,.,,.
.,Aare-4-002813,Aha-4-002778,Alsp-4-002990,Aru-a04-000231,Aru-b04-000212,Asu-2-003768,Asu-9-003068,Ath-2-004014,Bdiv-4-000249,Bst-4-002675,Cen-3-002587,Cen-10-000234,Cfle-4-000233,Chivh-4-000288,Cla-7-00216,Cne-4-004515,.,Crub-4-002766,Csa-5-000255,Csa-4-003677,Csa-6-003588,Eche-7-000214,Esal-3-002779,Iind-5-000179,Mpe-17-000439,Mpyg-2-000313,.,Tar-4-000208,Tca-1-003202,,Ggyn-17-000120
.,.,.,.,.,.,.,Asu-9-003072,.,.,.,.,.,.,Chivh-4-000287,.,.,.,Crub-4-002767,Csa-5-000254,Csa-4-003676,Csa-6-003587,.,.,.,.,.,.,.,.,,.
.,.,.,.,.,.,.,Asu-9-003073,.,.,.,.,.,.,Chivh-4-000286,.,.,.,Crub-4-002768,.,Csa-4-003675,Csa-6-003586,.,.,.,.,.,.,.,.,,.
Aara-1-002518,Aare-4-002815,Aha-4-002779,Alsp-4-002991,Aru-a04-000229,Aru-b04-000211,Asu-2-003769,.,Ath-2-004015,Bdiv-4-000247,Bst-4-002676,Cen-3-002588,Cen-10-000233,.,Chivh-4-000285,Cla-7-00215,Cne-4-004520,Cpl-393-000203,Crub-4-002769,Csa-5-000253,Csa-4-003699,Csa-6-003585,Eche-7-000213,Esal-3-002780,Iind-5-000178,Mpe-17-000440,Mpyg-2-000312,Spar-4-000640,Tar-4-000207,Tca-1-003196,,.
Aara-1-002519,.,.,.,Aru-a04-000227,Aru-b04-000210,.,.,.,.,Bst-4-002677,Cen-3-002589,Cen-10-000232,.,Chivh-4-000283,.,Cne-4-004521,.,Crub-4-002770,Csa-5-000252,Csa-4-003700,Csa-6-003584,.,Esal-3-002781,Iind-5-000177,Mpe-17-000441,Mpyg-2-000311,Spar-4-000639,Tar-4-000205,Tca-1-003190,,Ggyn-17-000119
.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,Cne-4-004523,.,Crub-4-002771,.,Csa-4-003702,.,.,.,.,.,.,.,.,.,,.
Aara-1-002520,.,Aha-4-002780,Alsp-4-002992,Aru-a04-000225,.,.,Asu-9-003075,.,.,.,Cen-3-002591,Cen-10-000126,.,.,Cla-7-00214,.,Cpl-393-000200,Crub-4-002772,.,.,.,Eche-7-000212,.,Iind-5-000175,Mpe-17-000443,Mpyg-2-000309,Spar-4-000637,Tar-4-000203,Tca-1-003186,,Ggyn-17-000118
Aara-1-002521,Aare-4-002817,Aha-4-002781,Alsp-4-002993,.,.,Asu-2-003770,Asu-9-003076,Ath-2-004016,Bdiv-4-000243,Bst-4-002680,Cen-3-002592,Cen-10-000127,Cfle-4-000229,Chivh-4-000279,Cla-7-00213,Cne-4-004526,Cpl-393-000199,Crub-4-002773,Csa-5-000250,Csa-4-003705,Csa-6-003599,Eche-7-000211,Esal-3-002782,Iind-5-000174,Mpe-17-000444,Mpyg-2-000308,Spar-4-000636,Tar-4-000202,Tca-1-003185,,.
Aara-1-002522,Aare-4-002818,Aha-4-002782,Alsp-4-002994,Aru-a04-000224,Aru-b04-000209,Asu-2-003771,Asu-9-003077,Ath-2-004017,Bdiv-4-000242,.,Cen-3-002593,Cen-10-000128,Cfle-4-000228,Chivh-4-000277,Cla-7-00212,Cne-4-004527,Cpl-393-000198,Crub-4-002774,Csa-5-000248,Csa-4-003706,Csa-6-003600,Eche-7-000210,Esal-3-002795,Iind-5-000173,Mpe-17-000445,Mpyg-2-000307,Spar-4-000635,Tar-4-000201,Tca-1-003184,,Ggyn-17-000116
